"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"356535","tt0371982","movie","taxi-driver","taxi-driver","0","1981","\N","129","Musical"
"360108","tt0375679","movie","crash","crash","0","2004","\N","112","Crime,Drama,Thriller"
"361010","tt0376606","movie","frozen","frozen","0","2005","\N","90","Thriller"
"364099","tt0379786","movie","serenity","serenity","0","2005","\N","119","Action,Adventure,Sci-Fi"
"387040","tt0403702","movie","youth-in-revolt","youth-in-revolt","0","2009","\N","90","Comedy,Drama,Romance"
"390544","tt0407304","movie","war-of-the-worlds","war-of-the-worlds","0","2005","\N","116","Action,Adventure,Sci-Fi"
"392635","tt0409459","movie","watchmen","watchmen","0","2009","\N","162","Action,Drama,Mystery"
"399640","tt0416658","movie","crazylove","crazylove","0","2005","\N","95","Comedy,Drama,Romance"
"401175","tt0418229","movie","taxi-driver","taxi-driver","0","1944","\N","\N","Comedy,Musical"
"401748","tt0418819","movie","land-of-the-dead","land-of-the-dead","0","2005","\N","93","Horror,Sci-Fi,Thriller"
"404070","tt0421201","movie","flash-gordon","flash-gordon","0","\N","\N","\N","Action,Adventure,Animation"
"408406","tt0425634","movie","wanted","wanted","0","2004","\N","\N","Action,Crime,Thriller"
"409218","tt0426459","movie","feast","feast","0","2005","\N","95","Action,Comedy,Horror"
"416950","tt0434409","movie","v-for-vendetta","v-for-vendetta","0","2005","\N","132","Action,Drama,Sci-Fi"
"418225","tt0435705","movie","next","next","0","2007","\N","96","Action,Sci-Fi,Thriller"
"418445","tt0435934","movie","wanted","wanted","0","2004","\N","\N","\N"
"424141","tt0441773","movie","kung-fu-panda","kung-fu-panda","0","2008","\N","92","Action,Adventure,Animation"
"426504","tt0444196","movie","it-happened-one-night","it-happened-one-night","0","1978","\N","\N","Action,Romance"
"430332","tt0448157","movie","hancock","hancock","0","2008","\N","92","Action,Drama,Fantasy"
"435561","tt0453556","movie","tmnt","tmnt","0","2007","\N","87","Action,Adventure,Animation"
"439238","tt0457325","movie","drive","drive","0","2005","\N","94","Documentary,Sport"
"444082","tt0462284","movie","fair-game","fair-game","0","2005","\N","88","Drama"
"448847","tt0467197","movie","max-payne","max-payne","0","2008","\N","100","Action,Crime,Drama"
"461160","tt0479884","movie","crank","crank","0","2006","\N","88","Action,Crime,Thriller"
"461926","tt0480687","movie","hall-pass","hall-pass","0","2011","\N","105","Comedy,Romance"
"474338","tt0493464","movie","wanted","wanted","0","2008","\N","110","Action,Crime,Thriller"
"475713","tt0494891","movie","wild","wild","0","1981","\N","\N","Drama"
"480242","tt0499549","movie","avatar","avatar","0","2009","\N","162","Action,Adventure,Fantasy"
"756106","tt0780504","movie","drive","drive","0","2011","\N","100","Action,Drama"
"766568","tt0791324","movie","metro","metro","0","2006","\N","105","Drama"
"771455","tt0796366","movie","star-trek","star-trek","0","2009","\N","127","Action,Adventure,Sci-Fi"
"775240","tt0800260","movie","wanted","wanted","0","2002","\N","105","Documentary"
"775296","tt0800320","movie","clash-of-the-titans","clash-of-the-titans","0","2010","\N","106","Action,Adventure,Fantasy"
"785788","tt0811080","movie","speed-racer","speed-racer","0","2008","\N","135","Action,Adventure,Comedy"
"790978","tt0816462","movie","conan-the-barbarian","conan-the-barbarian","0","2011","\N","113","Action,Adventure,Fantasy"
"797211","tt0822847","movie","priest","priest","0","2011","\N","87","Action,Adventure,Fantasy"
"805396","tt0831387","movie","godzilla","godzilla","0","2014","\N","123","Action,Adventure,Sci-Fi"
"847639","tt0875034","movie","nine","nine","0","2009","\N","118","Drama,Musical,Romance"
"912691","tt0942385","movie","tropic-thunder","tropic-thunder","0","2008","\N","107","Action,Comedy,War"
"919598","tt0949547","movie","supergirl","supergirl","0","1973","\N","\N","Action,Fantasy"
"946874","tt0977855","movie","fair-game","fair-game","0","2010","\N","108","Biography,Drama,Thriller"
"956781","tt0988045","movie","sherlock-holmes","sherlock-holmes","0","2009","\N","128","Action,Adventure,Mystery"
"962394","tt0993842","movie","hanna","hanna","0","2011","\N","111","Action,Adventure,Drama"
"1024104","tt1010048","movie","slumdog-millionaire","slumdog-millionaire","0","2008","\N","120","Drama,Romance"
"1067946","tt10179354","movie","frankenstein","frankenstein","0","2021","\N","\N","\N"
"1095804","tt10228992","movie","hanna","hanna","0","\N","\N","\N","Documentary"
"1132137","tt10294056","movie","metro","metro","0","\N","\N","\N","Sci-Fi"
"1150723","tt1032755","movie","rocknrolla","rocknrolla","0","2008","\N","114","Action,Crime,Thriller"
"1157814","tt1034032","movie","gamer","gamer","0","2009","\N","95","Action,Sci-Fi,Thriller"
"1159310","tt1034303","movie","defiance","defiance","0","2008","\N","137","Action,Drama,History"
"1183560","tt1038686","movie","legion","legion","0","2010","\N","100","Action,Fantasy,Horror"
"1222434","tt1045658","movie","silver-linings-playbook","silver-linings-playbook","0","2012","\N","122","Comedy,Drama,Romance"
"1223027","tt1045772","movie","i-love-you-phillip-morris","i-love-you-phillip-morris","0","2009","\N","102","Biography,Comedy,Crime"
"1301064","tt1059786","movie","eagle-eye","eagle-eye","0","2008","\N","118","Action,Mystery,Thriller"
"1330388","tt1065073","movie","boyhood","boyhood","0","2014","\N","165","Drama"
"1342048","tt10671440","movie","blade","blade","0","\N","\N","\N","Action,Adventure,Fantasy"
"1344564","tt10676052","movie","fantastic-four","fantastic-four","0","\N","\N","\N","Action,Adventure,Sci-Fi"
"1368347","tt1071798","movie","frozen","frozen","0","2007","\N","110","Drama"
"1442349","tt1084972","movie","wanted","wanted","0","2009","\N","147","Action,Crime,Thriller"
"1464304","tt10888642","movie","wanted","wanted","0","2018","\N","158","Drama"
"1527507","tt1100089","movie","foxcatcher","foxcatcher","0","2014","\N","134","Biography,Drama,History"
"1540384","tt1102362","movie","wild","wild","0","1993","\N","54","Documentary"
"1550210","tt1104082","movie","legion","legion","0","1998","\N","\N","\N"
"1617823","tt11160834","movie","defiance","defiance","0","2020","\N","\N","Sci-Fi"
"1662637","tt11242990","movie","feast","feast","0","\N","\N","\N","\N"
"1679435","tt11273700","movie","legend","legend","0","\N","\N","\N","Adventure,Family,Fantasy"
"1694372","tt11300570","movie","feast","feast","0","2019","\N","97","Drama"
"1746574","tt11394276","movie","assassins","assassins","0","2020","\N","104","Biography,Documentary"
"1752434","tt11404674","movie","remember-me","remember-me","0","2020","\N","80","Drama,Romance"
"1785933","tt11465448","movie","remember-me","remember-me","0","2020","\N","80","Drama,Romance"
"1903083","tt11673946","movie","assassins","assassins","0","2020","\N","\N","Drama"
"1924827","tt11712502","movie","drive","drive","0","2020","\N","78","Documentary"
"1986121","tt11822098","movie","hostage","hostage","0","\N","\N","\N","Thriller"
"2009483","tt1186367","movie","ninja-assassin","ninja-assassin","0","2009","\N","99","Action,Thriller"
"2022607","tt1188729","movie","pandorum","pandorum","0","2009","\N","108","Action,Horror,Mystery"
"2047397","tt1193138","movie","up-in-the-air","up-in-the-air","0","2009","\N","109","Comedy,Drama,Romance"
"2052904","tt11941222","movie","willow","willow","0","\N","\N","\N","Drama"
"2185658","tt12182062","movie","godzilla","godzilla","0","1957","\N","92","Sci-Fi"
"2217123","tt12240500","movie","heat","heat","0","2019","\N","\N","Action,Drama,Horror"
"2249118","tt1229822","movie","jane-eyre","jane-eyre","0","2011","\N","120","Drama,Romance"
"2283480","tt12359978","movie","remember-me","remember-me","0","2022","\N","\N","Drama"
"2320437","tt12427518","movie","crash","crash","0","2003","\N","93","Documentary"
"2496313","tt1276104","movie","looper","looper","0","2012","\N","113","Action,Drama,Sci-Fi"
"2522706","tt12810234","movie","legend","legend","0","2020","\N","\N","Western"
"2528658","tt1282140","movie","easy-a","easy-a","0","2010","\N","92","Comedy,Drama,Romance"
"2579891","tt1291584","movie","warrior","warrior","0","2011","\N","140","Action,Drama,Sport"
"2580007","tt12916062","movie","tron","tron","0","\N","\N","\N","\N"
"2680174","tt13097910","movie","feast","feast","0","2021","\N","75","Drama"
"2693537","tt1312221","movie","frankenstein","frankenstein","0","\N","\N","\N","Horror"
