"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","averageRating","numVotes","directors","writers","DirAvgScore","DirAvgVotes","WriteAvgScore","WriteAvgVotes","isDrama","isSport","isRomance","isComedy","isAdventure","isHistory","isAction","isBiography","isCrime","isMystery","isWar","isSci-Fi","isFantasy","isThriller","isHorror","isAnimation","isMusic","isFamily","isMusical","isDocumentary","isNews","isWestern"
"1873","tt0099091","movie","bad-influence","bad-influence",0,1990,"\N",99,"Drama,Thriller",6.3,9600,"nm0000436","nm0462895",7.1,235321.75,7.225,373007.25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1874","tt0099141","movie","bird-on-a-wire","bird-on-a-wire",0,1990,"\N",110,"Action,Comedy",6,43584,"nm0000824","nm0893207,nm0503609,nm0783544",6.8,65163.75,6.375,55378.5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1875","tt0099160","movie","blue-steel","blue-steel",0,1990,"\N",102,"Action,Crime,Drama",5.7,14921,"nm0000941","nm0000941,nm0714599",7.275,209614,5.5,12498,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1876","tt0099165","movie","the-bonfire-of-the-vanities","the-bonfire-of-the-vanities",0,1990,"\N",125,"Comedy,Drama,Romance",5.6,24638,"nm0000361","nm0188165,nm0004366",7,101831.75,6.7,42417.5,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1877","tt0099180","movie","bride-of-re-animator","bride-of-re-animator",0,1990,"\N",96,"Comedy,Horror,Sci-Fi",6.3,15480,"nm0951206","nm0296779,nm0445319,nm0522454,nm0951206",5.8,12178.3333333333,5.8,12178.3333333333,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1878","tt0099204","movie","cadillac-man","cadillac-man",0,1990,"\N",97,"Comedy,Crime",5.7,14125,"nm0002044","nm0295271",6.65,60674.25,5.2,12437,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1879","tt0099253","movie","child's-play-2","child's-play-2",0,1990,"\N",84,"Horror,Thriller",5.9,49822,"nm0480843","nm0238841",6.4,61462,5.63333333333333,66260,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1880","tt0099277","movie","class-of-1999","class-of-1999",0,1990,"\N",99,"Action,Horror,Sci-Fi",5.9,7443,"nm0504495","nm0504495,nm0003676,nm0804345",6.4,54206.75,5.3,28647.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1881","tt0099329","movie","cry-baby","cry-baby",0,1990,"\N",85,"Comedy,Musical",6.5,58529,"nm0000691","nm0000691",6.25,27018.25,6.25,27018.25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"1882","tt0099334","movie","cyrano-de-bergerac","cyrano-de-bergerac",0,1990,"\N",137,"Comedy,Drama,History",7.5,23832,"nm0710919","nm0744562,nm0710919,nm0140643",7.5,23832,7.6,38673.5,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
