"","nconst","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"2652700","nm1180620","Daniel Wallace","\N","\N","writer,director,actor","tt0319061,tt5344152,tt1766182,tt3973160"
"2657095","nm1181077","Sarah Dessen","1970","\N","writer","tt0319524,tt14506528,tt15315336,tt15315310"
"2658557","nm1181224","Béatrice Fournera","\N","\N","writer,producer,miscellaneous","tt3992820,tt1986843,tt2024343,tt1941585"
"2660098","nm11813828","Pippa Ehrlich","\N","\N","director,writer,camera_department","tt14167764,tt12888462,tt10471902"
"2661461","nm1181534","Ui-seok Jo","\N","\N","director,writer","tt2969656,tt1210814,tt0319546,tt5735464"
"2669254","nm1182352","Yunus Sajawal","\N","\N","writer,director","tt2112124,tt0297983,tt9531772,tt4535650"
"2672508","nm11826878","Ryu Yong-jae","\N","\N","writer,cinematographer","tt13898604,tt8850222"
"2676650","nm11831302","Taylan Atalay","\N","\N","","tt4114744,tt2645092,tt3240122,tt9034290"
"2680085","nm1183476","Francis Roux","\N","\N","writer","tt0301727,tt12589948"
"2683717","nm1183854","David Berenbaum","\N","\N","writer,actor","tt0416236,tt0383060,tt0338094,tt0319343"
"2686006","nm11840879","Yan Gao","\N","\N","","tt7131870"
"2687631","nm1184258","William Monahan","1960","\N","writer,producer,director","tt0320661,tt0758774,tt1213648,tt0407887"
"2688355","nm1184333","Katherine Applegate","1956","\N","writer","tt0154147,tt7693052,tt2570942,tt3661394"
"2688376","nm1184336","Paco Arango","\N","\N","writer,producer,composer","tt0424658,tt4356480,tt0229935,tt1779826"
"2691207","nm1184635","Anouska Chydzik","\N","\N","miscellaneous,writer,executive","tt1436559,tt0372532,tt0266452,tt0270288"
"2691636","nm1184676","Andrew Cosby","\N","\N","writer,producer,miscellaneous","tt1272878,tt0796264,tt2274648,tt6969768"
"2702949","nm1185849","Solomon Northup","1808","1863","writer","tt0176357,tt2024544"
"2708031","nm1186373","Adam Sztykiel","\N","\N","writer,producer,actor","tt0866439,tt2231461,tt2788780,tt1231583"
"2711358","nm1186720","Peter Ackroyd","1949","\N","writer,actor","tt4733640,tt1943821,tt0775397,tt0396143"
"2714004","nm11870049","Dafe Oboro","\N","\N","director,casting_director,producer","tt12607910"
"2715207","nm1187126","Mark Wheaton","1975","\N","producer,writer,actor","tt1998389,tt0758746,tt0425430,tt1152402"
"2718448","nm1187454","Kirsten Elms","\N","\N","writer,director,editor","tt1572315,tt6064746,tt0893398,tt1438173"
"2722321","nm1187860","Diane Lake","\N","\N","writer","tt0120679"
"2722418","nm1187871","Marshall Todd","1970","\N","writer,producer,script_department","tt6153822,tt6212570,tt0303714,tt9223870"
"2722440","nm1187873","Oliver Welke","1966","\N","writer,actor","tt0313021,tt0479842,tt1602908,tt1441143"
"2727534","nm1188393","Alonzo Brown","\N","\N","writer,producer","tt0167567,tt0346307,tt0322589,tt1429889"
"2734033","nm1189085","A. Deepakraj","\N","\N","writer,assistant_director,miscellaneous","tt3142764,tt6027478,tt1814797,tt6468814"
"2735091","nm1189197","Quentin Dupieux","1974","\N","director,writer,cinematographer","tt2166616,tt1612774,tt8193790,tt2392672"
"2736455","nm1189346","Gardner Fox","1911","1986","writer,miscellaneous,art_department","tt0974015,tt12361974,tt1641384,tt14299920"
"2736760","nm1189376","Sanjay Gadhvi","\N","\N","director,writer,actor","tt0322653,tt0441048,tt0422091,tt1034449"
"2740425","nm1189755","Jonathan Jakubowicz","1978","\N","director,writer,producer","tt4075436,tt6914122,tt0371939,tt1781827"
"2742745","nm1190000","Todd Kurosawa","\N","\N","art_department,animation_department,actor","tt0114148,tt1911658,tt2091256,tt0230011"
"2743386","nm11900680","Eli King","\N","\N","director","tt13097336"
"2746314","nm1190372","Crazy Mohan","1952","2019","writer,actor","tt0485270,tt0442781,tt0364530,tt0233422"
"2747851","nm1190532","David Oelhoffen","\N","\N","writer,director,actor","tt0432083,tt6527586,tt0322172,tt2936180"
"2750025","nm1190754","Mayur Puri","\N","\N","writer,music_department,soundtrack","tt2372222,tt6629976,tt1024943,tt3863552"
